id,appId,date,score,text
gp:AOqpTOFUq30l61zmv8bwg94tBj3GkJD954qZWn-Wd_hOKJchStF80s5qPuPG1dJHT29BWgZsSvSFj1B02bDFNxM,com.flipkart.android,December 16, 2018,5,No
gp:AOqpTOHaiz3_fa8MdHtCu1s47cNQFvXuQMCHeZHbRPRHXjMU7bHeaJeeVNyIzVdZ7i8D4S1yVvDUVjGWwytKaTI,com.flipkart.android,December 16, 2018,4,Big concern for u sir i often watch that the delivary boys are misplacing the undelivered item or doing duplicity please take a note of it. They r decresing ur brand value sir..belive it or not its true...
gp:AOqpTOH0-6hE97-aIc35GAIE_QQ6SOHODSHRpgPspZ7wgf2bRuo9UAzUUMsXJ-bodt45qPQR6FyD95O-tnHuPOI,com.flipkart.android,December 16, 2018,5,Simply it's an Osm and helpful at any time
gp:AOqpTOHwD3xB3yEy7vAqmYPs9vL8TrQ7Qt2RlC3tWDX6PSqDWSu1aoX1j4G6n6YzP-3EiocDd2h7sBJQQynNvpg,com.flipkart.android,December 16, 2018,5,very gud offers...
gp:AOqpTOELOKJQwxPxKWPJDqyxWTw6ZzcaIrl0BHp5EzVUWr_yC6BhzRF2_z-xT3lZoRP46JTdkgY3iDIH5fIHuA4,com.flipkart.android,December 16, 2018,5,Very nice app...
gp:AOqpTOEXK5NaYrDV7Qksjsh4-0Ugl6fOA3zwUm3Xigv0zVzaECnWXE_6pO-7PF6DIEfQ9SRURuKDU02eACFOeYA,com.flipkart.android,December 16, 2018,5,Everything is good and so nice.
gp:AOqpTOEKsp95kjTOOjP8mapo1oWv-94YZzh_Z59-TUjTnsM0-Lhdaf-6X2FrdhruHcI5I7Kd-wTUYC5eMP1xVJA,com.flipkart.android,December 16, 2018,1,Nothing received as value for money
gp:AOqpTOGwYO2k87yvwDqRiJXHIxh4t6VDZT_UZ1DIfdBWmmixXjkV5WH9DJWDshYR3YikpkLfh9Tl4drXALIEwtw,com.flipkart.android,December 16, 2018,4,Satisfactory experience.
gp:AOqpTOFVDrdU3yN8fDBMnGyWGYt2Ki9FbDWYFTLzz4fpO3Hdac2yLiizAUrArKoZgUt91fuZhE4o1pb_jpDTv1U,com.flipkart.android,December 16, 2018,5,No.1 Online Shopping.....
gp:AOqpTOHl8aFG3DAc4oqS9HhtfDknlQYPWsmaWhqs0Tz0z50hptourNq4rN90Ai4a7OvJaZCUKTcSIoOBLE6OP9I,com.flipkart.android,December 16, 2018,4,super
gp:AOqpTOFMvn1DUqkvGORJXwNqFbKedHwuZWsqWgviEHFdPZBArljmwDQXda1GespLLw_bEKpASbXeYNsjJdCtcb0,com.flipkart.android,December 16, 2018,5,Shopping and browsing is easy and user friendly but they never ever delivered any of products on time it has always been a delay of 1week or more from the recommended day of arrival. But satisfied with products.
